,Player,Role,Amount,Team,Year,Player Origin
704,Rahul Tewatia,All-Rounder,90000000,Gujarat Titans,2022.0,Indian
707,Rahul Tripathi,Batsman,85000000,Sunrisers Hyderabad,2022.0,Indian
708,Raj Bawa,All-Rounder,20000000,Punjab Kings,2022.0,Indian
713,Rajvardhan Hangargekar,All-Rounder,15000000,Chennai Super Kings,2022.0,Indian
714,Ramandeep Singh,All-Rounder,2000000,Mumbai Indians,2022.0,Indian
715,Ramesh Kumar,Batsman,2000000,Kolkata Knight Riders,2022.0,Indian
721,Rasikh Salam,Bowler,2000000,Kolkata Knight Riders,2022.0,Indian
722,Rassie van der Dussen,Batsman,10000000,Rajasthan Royals,2022.0,Overseas
732,Riley Meredith,Bowler,10000000,Mumbai Indians,2022.0,Overseas
735,Rinku Singh,Batsman,5500000,Kolkata Knight Riders,2022.0,Indian
737,Ripal Patel,All-Rounder,2000000,Delhi Capitals,2022.0,Indian
741,Rishi Dhawan,All-Rounder,5500000,Punjab Kings,2022.0,Indian
743,Riyan Parag,All-Rounder,38000000,Rajasthan Royals,2022.0,Indian
747,Robin Uthappa,Batsman,20000000,Chennai Super Kings,2022.0,Indian
748,Romario Shepherd,All-Rounder,77500000,Sunrisers Hyderabad,2022.0,Overseas
752,Rovman Powell,Batsman,28000000,Delhi Capitals,2022.0,Overseas
767,Sam Billings,Wicket Keeper,20000000,Kolkata Knight Riders,2022.0,Overseas
776,Sandeep Sharma,Bowler,5000000,Punjab Kings,2022.0,Indian
779,Sanjay Yadav,All-Rounder,5000000,Mumbai Indians,2022.0,Indian
783,Sarfaraz Khan,All-Rounder,2000000,Delhi Capitals,2022.0,Indian
786,Saurabh Dubey,Bowler,2000000,Sunrisers Hyderabad,2022.0,Indian
798,Sean Abbott,Bowler,24000000,Sunrisers Hyderabad,2022.0,Overseas
802,Shahbaz Ahmed,All-Rounder,24000000,Royal Challengers Bangalore,2022.0,Indian
805,Shahbaz Nadeem,Bowler,5000000,Lucknow Super Giants,2022.0,Indian
807,Shahrukh Khan,All-Rounder,90000000,Punjab Kings,2022.0,Indian
816,Shardul Thakur,Bowler,107500000,Delhi Capitals,2022.0,Indian
819,Shashank Singh,All-Rounder,2000000,Sunrisers Hyderabad,2022.0,Indian
824,Sheldon Jackson,Wicket Keeper,6000000,Kolkata Knight Riders,2022.0,Indian
827,Sherfane Rutherford,All-Rounder,10000000,Royal Challengers Bangalore,2022.0,Overseas
829,Shikhar Dhawan,Batsman,82500000,Punjab Kings,2022.0,Indian
832,Shimron Hetmyer,Batsman,85000000,Rajasthan Royals,2022.0,Overseas
836,Shivam Dube,All-Rounder,40000000,Chennai Super Kings,2022.0,Indian
838,Shivam Mavi,All-Rounder,72500000,Kolkata Knight Riders,2022.0,Indian
844,Shreyas Gopal,Bowler,7500000,Sunrisers Hyderabad,2022.0,Indian
846,Shreyas Iyer,Batsman,122500000,Kolkata Knight Riders,2022.0,Indian
849,Shubham Garhwal,All-Rounder,2000000,Rajasthan Royals,2022.0,Indian
855,Siddarth Kaul,Bowler,7500000,Royal Challengers Bangalore,2022.0,Indian
858,Simarjeet Singh,Bowler,2000000,Chennai Super Kings,2022.0,Indian
864,Subhranshu Senapati,Batsman,2000000,Chennai Super Kings,2022.0,Indian
872,Suyash Prabhudessai,All-Rounder,3000000,Royal Challengers Bangalore,2022.0,Indian
876,Khaleel Ahmed,Bowler,52500000,Delhi Capitals,2022.0,Indian
880,T Natarajan,Bowler,40000000,Sunrisers Hyderabad,2022.0,Indian
886,Tejas Baroka,Bowler,2000000,Rajasthan Royals,2022.0,Indian
891,Tim David,All-Rounder,82500000,Mumbai Indians,2022.0,Overseas
892,Tim Seifert,Wicket Keeper,5000000,Delhi Capitals,2022.0,Overseas
896,Tim Southee,Bowler,15000000,Kolkata Knight Riders,2022.0,Overseas
906,Trent Boult,Bowler,80000000,Rajasthan Royals,2022.0,Overseas
908,Tushar Deshpande,Bowler,2000000,Chennai Super Kings,2022.0,Indian
910,Tymal Mills,Bowler,15000000,Mumbai Indians,2022.0,Overseas
915,Umesh Yadav,Bowler,20000000,Kolkata Knight Riders,2022.0,Indian
919,Vaibhav Arora,Bowler,20000000,Punjab Kings,2022.0,Indian
924,Varun Aaron,Bowler,5000000,Gujarat Titans,2022.0,Indian
930,Vicky Ostwal,All-Rounder,2000000,Delhi Capitals,2022.0,Indian
934,Vijay Shankar,All-Rounder,14000000,Gujarat Titans,2022.0,Indian
942,Vishnu Vinod,Wicket Keeper,5000000,Sunrisers Hyderabad,2022.0,Indian
943,Wanindu Hasaranga,All-Rounder,107500000,Royal Challengers Bangalore,2022.0,Overseas
944,Washington Sundar,All-Rounder,87500000,Sunrisers Hyderabad,2022.0,Indian
949,Wriddhiman Saha,Wicket Keeper,19000000,Gujarat Titans,2022.0,Indian
950,Writtick Chatterjee,All-Rounder,2000000,Punjab Kings,2022.0,Indian
951,Yash Dayal,Bowler,32000000,Gujarat Titans,2022.0,Indian
952,Yash Dhull,All-Rounder,5000000,Delhi Capitals,2022.0,Indian
964,Yuzvendra Chahal,Bowler,65000000,Rajasthan Royals,2022.0,Indian
