,Player,Role,Amount,Player Origin,average_batting_performance_index,average_bowling_performance_index
409,R. Silambarasan,Bowler,2000000,Indian,,
524,R. Vivek,All-Rounder,2000000,Indian,,
525,R.Sonu Yadav,All-Rounder,2000000,Indian,,
143,Rahul Buddhi,Batsman,2000000,Indian,,
439,Rahul Chandrol,Wicket Keeper,2000000,Indian,,
387,Rahul Gahlaut,Batsman,2000000,Indian,,
273,Rahul Sharma,Bowler,5000000,Indian,,
484,Rahul Shukla,Bowler,2000000,Indian,,
147,Raj Bawa,All-Rounder,20000000,Indian,,
150,Ramesh Kumar,Batsman,2000000,Indian,,
552,Ravi Chauhan,All-Rounder,2000000,Indian,,
514,Ravi Sharma,Bowler,2000000,Indian,,
140,Ravikumar Samarth,Batsman,2000000,Indian,,
329,Raymon Reifer,All-Rounder,5000000,Overseas,,
242,Reece Topley,Bowler,7500000,Overseas,,
154,Rinku Singh,Batsman,5500000,Indian,,
155,Ripal Patel,All-Rounder,2000000,Indian,,
363,Ritwik Roy Chowdhury,Batsman,2000000,Indian,,
425,Rohan  Kunnummal,Batsman,2000000,Indian,,
360,Rohan Kadam,Batsman,2000000,Indian,,
598,Rohan Rana,All-Rounder,2000000,Indian,,
435,Roosh Kalaria,All-Rounder,2000000,Indian,,
235,Roston Chase,All-Rounder,10000000,Overseas,,
160,Rovman Powell,Batsman,28000000,Overseas,,
501,Ruben Trumpelmann,Bowler,2000000,Overseas,,
575,Ryan John,All-Rounder,2000000,Overseas,,
444,Ryan Rickelton,Wicket Keeper,2000000,Overseas,,
461,S. Kishan Kumar,Bowler,2000000,Indian,,
316,S. Sreesanth,Bowler,5000000,Indian,,
511,Safvan Patel,Bowler,2000000,Indian,,
589,Safyaan Sharif,All-Rounder,2000000,Overseas,,
420,Sagar  Udeshi,Bowler,2000000,Indian,,
522,Sagar Trivedi,All-Rounder,2000000,Indian,,
572,Sahil Dhiwan,All-Rounder,2000000,Indian,,
602,Sairaj Patil,All-Rounder,2000000,Indian,,
560,Samarth  Vyas,All-Rounder,2000000,Indian,,
306,Samit Patel,All-Rounder,5000000,Overseas,,
445,Sandeep Kumar Tomar,Wicket Keeper,2000000,Indian,,
163,Sanjay Yadav,All-Rounder,5000000,Indian,,
493,Sanvir  Singh,All-Rounder,2000000,Indian,,
216,Saqib Mahmood,Bowler,20000000,Overseas,,
164,Sarfaraz Khan,All-Rounder,2000000,Indian,,
413,Satyajeet Bachhav,Bowler,2000000,Indian,,
165,Saurabh Dubey,Bowler,2000000,Indian,,
392,Saurabh Kumar,All-Rounder,2000000,Indian,,
534,Saurav Chuahan,All-Rounder,2000000,Indian,,
568,Saurin Thakar,All-Rounder,2000000,Indian,,
166,Sean Abbott,Bowler,24000000,Overseas,,
328,Seekkuge Prasanna,All-Rounder,5000000,Overseas,,
553,Shafiqullah Ghafari,All-Rounder,2000000,Overseas,,
169,Shahrukh Khan,All-Rounder,90000000,Indian,,
286,Shamrah Brooks,Batsman,5000000,Overseas,,
468,Shashwat Rawat,Batsman,2000000,Indian,,
491,Shivam  Sharma,All-Rounder,2000000,Indian,,
540,Shivam  Sharma,All-Rounder,2000000,Indian,,
358,Shivam Chauhan,Batsman,2000000,Indian,,
438,Shivank Vashisth,All-Rounder,2000000,Indian,,
297,Shoriful Islam,Bowler,5000000,Overseas,,
476,Shoun  Roger,All-Rounder,2000000,Indian,,
370,Shreevats Goswami,Wicket Keeper,2000000,Indian,,
180,Shubham Garhwal,All-Rounder,2000000,Indian,,
519,Shubham Ranjane,All-Rounder,2000000,Indian,,
507,Shubham Sharma,All-Rounder,2000000,Indian,,
508,Shubham Singh,All-Rounder,2000000,Indian,,
515,Shubham Singh,Bowler,2000000,Indian,,
428,Shubham Singh Rohilla,Batsman,2000000,Indian,,
434,Shubhang Hegde,All-Rounder,2000000,Indian,,
398,Shubhum Arora,Wicket Keeper,2000000,Indian,,
566,Siddhant Sharma,All-Rounder,2000000,Indian,,
446,Siddhesh Wath,Wicket Keeper,2000000,Indian,,
447,Stephen Cheepurupalli,Bowler,2000000,Indian,,
208,Steve Smith,Batsman,20000000,Overseas,,
183,Subhranshu Senapati,Batsman,2000000,Indian,,
384,Sudip  Chatterjee,Batsman,2000000,Indian,,
547,Sujit Nayak,All-Rounder,2000000,Indian,,
405,Sushant Mishra,Bowler,2000000,Indian,,
463,Swaraj Wabale,Bowler,2000000,Indian,,
535,Tajinder Dhillon,All-Rounder,2000000,Indian,,
366,Tanay Thyagarajan,All-Rounder,2000000,Indian,,
357,Tanmay Agarwal,Batsman,2000000,Indian,,
426,Tanmay Mishra,Batsman,2000000,Indian,,
417,Tanveer Sangha,Bowler,2000000,Overseas,,
411,Tanveer Ul Haq,Bowler,2000000,Indian,,
442,Tarang Gohel,Wicket Keeper,2000000,Indian,,
283,Taskin Ahmed,Bowler,5000000,Overseas,,
243,Todd Astle,Bowler,7500000,Overseas,,
520,Tom Rogers,All-Rounder,2000000,Overseas,,
373,Upendra Singh Yadav,Wicket Keeper,2000000,Indian,,
401,Urvil Patel,Wicket Keeper,2000000,Indian,,
396,Utkarsh Singh,All-Rounder,2000000,Indian,,
479,V Koushik,Bowler,2000000,Indian,,
526,V. Athisayaraj,Bowler,2000000,Indian,,
529,V. Gowtham,Bowler,2000000,Indian,,
355,Vasu Vats,Bowler,2000000,Indian,,
197,Vicky Ostwal,All-Rounder,2000000,Indian,,
454,Vidyadhar Patil,Bowler,2000000,Indian,,
510,Vipul Krishna,Bowler,2000000,Indian,,
351,Virat  Singh,Batsman,2000000,Indian,,
344,Vishnu Solanki,Wicket Keeper,2000000,Indian,,
376,Vyshak Vijay Kumar,Bowler,2000000,Indian,,
200,Wanindu Hasaranga,All-Rounder,107500000,Overseas,,
272,Waqar Salamkheil,Bowler,5000000,Overseas,,
296,Wesley Agar,Bowler,5000000,Overseas,,
203,Writtick Chatterjee,All-Rounder,2000000,Indian,,
427,Yash Nahar,Batsman,2000000,Indian,,
579,Yashovardhan Singh,All-Rounder,2000000,Indian,,
433,Yudhvir Charak,All-Rounder,2000000,Indian,,
570,Yuvraj Chaudhary,All-Rounder,2000000,Indian,,
378,Yuvraj Chudasama,Bowler,2000000,Indian,,
377,Zeeshan Ansari,Bowler,2000000,Indian,,
288,Zubayr Hamza,Batsman,5000000,Overseas,,
