,player,average_batting_performance_index,average_bowling_performance_index
431,Prayas Ray Barman,0.0,0.2792490059937095
432,Pardeep Sahu,0.0,1.2163561410050538
433,Prabhsimran Singh,0.3759767463389897,0.0
434,Pawan Suyal,0.0,2.5936827332835204
435,Parthiv Patel,0.587640562429677,0.0
436,PA Reddy,0.1900608280348937,0.0
437,Bhanuka Rajapaksa,0.401800701634486,0.0
438,Paul Valthaty,0.317371873012885,1.9391305422294869
439,Paul Collingwood,0.0261919746830981,2.5477655788893285
440,Phil Salt,0.4188986921445708,0.0
441,Prashant Solanki,0.0,2.597236244333599
442,Pat Cummins,0.3618748209896505,2.0430195867108734
443,Pradeep Sangwan,0.0306080470280971,2.670956664092703
444,Priyam Garg,0.2049463743554317,0.0
445,PM Sarvesh Kumar,0.0,5.459265766767059
446,Prerak Mankad,0.0888593781738956,0.0
447,Piyush Chawla,0.244746471359139,3.2211351107746684
448,Pragyan Ojha,0.0367225666314563,2.44619651094392
449,Prithvi Shaw,0.5144598418169066,0.0
450,PR Shah,0.1112809998748943,0.0
451,Pravin Tambe,0.0377695025170673,2.8999308608678804
452,Dushmantha Chameera,0.2413521268892626,1.4326191015626255
453,P De Silva,0.0981120123949473,4.552379989929831
454,Pankaj Singh,0.0,2.4338185229251343
455,Parvez Rasool,0.1026571470497945,1.788366277420716
456,Quinton de Kock,0.736820229045565,0.0
457,Ravichandran Ashwin,0.3027660669984907,2.710533572924613
458,Rajat Bhatia,0.2139558544601272,2.912467508403596
459,Rishi Dhawan,0.1658849681780219,1.8615660133785168
460,Rahul Dravid,0.752819068232181,0.0
461,Rajinder Goel,0.0,0.2564946634553818
462,Ryan McLaren,0.0760491411732952,2.910035208654188
463,Ryan Ninan,0.0,2.109927135679256
464,Riyan Parag,0.460093599838746,2.2031693396534564
465,Ricardo Powell,0.1961689716390977,3.3756114637344306
466,Ravi Rampaul,0.1126803251459518,5.573838991909618
467,Rachin Ravindra,0.1716335141670854,0.0
468,Sai Kishore,0.0,5.168426154032958
469,Rajagopal Sathish,0.1131491407195275,3.8416116167493337
470,Rohit Sharma,0.0487469619560888,3.348851700663782
471,Romario Shepherd,0.1701389873451532,3.2302367376769783
472,Ravikant Shukla,0.1205920468761959,5.450227065817328
473,Rahul Tewatia,0.4208763032188914,3.044815180594929
474,Vinay Kumar,0.1871884071972298,3.3007345599356084
475,Ravindra Jadeja,0.5710177574684823,2.226764723385617
476,Rahul Tripathi,0.6277473353982713,0.0
477,Rahul Chahar,0.1381952861651071,3.236185948598516
478,Ruturaj Gaikwad,0.7746708929477287,0.0
479,Richard Levi,0.1094100850736743,0.0
480,Roelof van der Merwe,0.2717495716282235,4.709781623655293
481,Ronit More,0.0,4.562252822774895
482,Rohit Sharma,0.8039935558504251,3.6088241959157448
483,Richard Gleeson,0.0,0.6274471437831226
484,RJ Harris,0.1059949197724332,3.5869241775102028
485,RJ Peterson,0.0546585960675003,3.981568207885569
486,Rob Quiney,0.1039961448123499,0.0
487,Peter Topley,0.0,5.120719198729285
488,Ricky Bhui,0.0210675336737868,0.0
489,RK Singh,0.5613068875001186,0.0
490,Rajat Patidar,0.4115330648140231,0.0
491,Ryan ten Doeschate,0.2347664855301342,2.314554894344222
492,Riley Meredith,0.0,2.8132566868378626
493,R.P.Singh,0.0791952290091291,2.5245130357351333
494,Rishabh Pant,0.7645909099300531,0.0
495,Ramesh Powar,0.0885985080041938,2.629379016410782
