,Player,Role,Amount,Player Origin,average_batting_performance_index,average_bowling_performance_index
114,Rasikh Salam,Bowler,2000000,Indian,0.20815340540160743,0.20815340540160743
115,Rassie van der Dussen,Batsman,10000000,Overseas,0.0,0.0
116,Riley Meredith,Bowler,10000000,Overseas,0.32433961748698736,0.32433961748698736
117,Rishi Dhawan,All-Rounder,5500000,Indian,0.21461945208583874,0.21461945208583874
118,Riyan Parag,All-Rounder,38000000,Indian,0.2540028089955248,0.2540028089955248
119,Robin Uthappa,Batsman,20000000,Indian,0.0,0.0
120,Romario Shepherd,All-Rounder,77500000,Overseas,0.3724131369854439,0.3724131369854439
121,Sam Billings,Wicket Keeper,20000000,Overseas,0.0,0.0
122,Sandeep Sharma,Bowler,5000000,Indian,0.29615627572123265,0.29615627572123265
123,Shahbaz Ahmed,All-Rounder,24000000,Indian,0.2593179841477495,0.2593179841477495
124,Shahbaz Nadeem,Bowler,5000000,Indian,0.30789454868384475,0.30789454868384475
125,Shardul Thakur,Bowler,107500000,Indian,0.23627681060945877,0.23627681060945877
126,Shashank Singh,All-Rounder,2000000,Indian,0.5859040574082657,0.5859040574082657
127,Sheldon Jackson,Wicket Keeper,6000000,Indian,0.0,0.0
128,Sherfane Rutherford,All-Rounder,10000000,Overseas,0.43450654692662677,0.43450654692662677
129,Shikhar Dhawan,Batsman,82500000,Indian,0.4764455949801989,0.4764455949801989
130,Shimron Hetmyer,Batsman,85000000,Overseas,0.0,0.0
131,Shivam Dube,All-Rounder,40000000,Indian,0.4729013512554857,0.4729013512554857
132,Shivam Mavi,All-Rounder,72500000,Indian,0.3483485436997642,0.3483485436997642
133,Shreyas Gopal,Bowler,7500000,Indian,0.4044973143315598,0.4044973143315598
134,Shreyas Iyer,Batsman,122500000,Indian,0.0,0.0
135,Siddarth Kaul,Bowler,7500000,Indian,0.3044937391196752,0.3044937391196752
136,Simarjeet Singh,Bowler,2000000,Indian,0.5829258814459042,0.5829258814459042
137,Suyash Prabhudessai,All-Rounder,3000000,Indian,0.0,0.0
138,Khaleel Ahmed,Bowler,52500000,Indian,0.387942463248248,0.387942463248248
139,T Natarajan,Bowler,40000000,Indian,0.30545607056397583,0.30545607056397583
140,Tejas Baroka,Bowler,2000000,Indian,0.02916244892955791,0.02916244892955791
141,Tim David,All-Rounder,82500000,Overseas,0.0,0.0
142,Tim Seifert,Wicket Keeper,5000000,Overseas,0.0,0.0
143,Tim Southee,Bowler,15000000,Overseas,0.38989605878920286,0.38989605878920286
144,Trent Boult,Bowler,80000000,Overseas,0.27296061376012626,0.27296061376012626
145,Tushar Deshpande,Bowler,2000000,Indian,0.3650822746658187,0.3650822746658187
146,Tymal Mills,Bowler,15000000,Overseas,0.39141314737087907,0.39141314737087907
147,Umesh Yadav,Bowler,20000000,Indian,0.2587951895695746,0.2587951895695746
148,Vaibhav Arora,Bowler,20000000,Indian,0.4026559191741593,0.4026559191741593
149,Varun Aaron,Bowler,5000000,Indian,0.34998275031981707,0.34998275031981707
150,Vijay Shankar,All-Rounder,14000000,Indian,0.41001436792236023,0.41001436792236023
151,Vishnu Vinod,Wicket Keeper,5000000,Indian,0.0,0.0
152,Washington Sundar,All-Rounder,87500000,Indian,0.27646527516610725,0.27646527516610725
153,Wriddhiman Saha,Wicket Keeper,19000000,Indian,0.0,0.0
154,Yash Dayal,Bowler,32000000,Indian,0.40845674002725874,0.40845674002725874
155,Yash Dhull,All-Rounder,5000000,Indian,0.0,0.0
