,player,average_bowling_performance_index
432,T Natarajan,2.6340949758351315
433,T Shamsi,2.5826594378028633
434,T Stubbs,9.315525035487441
435,T Thushara,5.996403106436434
436,TA Boult,2.369525875627618
437,TG Southee,4.025713063358629
438,TK Curran,4.224268653687636
439,TL Suman,8.380177592757677
440,TM Dilshan,4.446741612122661
441,TM Head,8.829725288625257
442,TP Sudhindra,24.566066049718486
443,TS Mills,6.027206580331994
444,TU Deshpande,3.7528368916985624
445,Tejas Baroka,
446,Tilak Varma,
447,UT Yadav,2.1109374997536046
448,Umar Gul,7.205594760947303
449,Umran Malik,4.493737248480535
450,V Kaverappa,14.612673237753883
451,V Kohli,35.16059491196878
452,V Pratap Singh,4.876320632318345
453,V Sehwag,4.316458660075091
454,V Shankar,3.293567991388845
455,V Viyaskanth,1.1877946388283043
456,VG Arora,5.29372870800031
457,VR Aaron,3.3949177229992733
458,VR Iyer,6.332576605577519
459,VRV Singh,2.8495482338548572
460,VS Malik,5.937610267447657
461,VS Yeligati,
462,VY Mahesh,4.54321095713114
463,Vijaykumar Vyshak,5.961562458329565
464,Vivrant Sharma,
465,WA Mota,35.2918011655368
466,WD Parnell,3.891038036791595
467,WG Jacks,2.1149927026434674
468,WPUJC Vaas,6.479215644369413
469,Washington Sundar,2.7671118126783907
470,Y Nagar,9.215947172596502
471,Y Prithvi Raj,3.110499619617787
472,Y Venugopal Rao,5.450314713991873
473,YA Abdulla,6.748345215961071
474,YK Pathan,3.5691684649435222
475,YS Chahal,2.655877742915708
476,Yash Dayal,4.2739157812454955
477,Yash Thakur,4.4386473463600575
478,Yudhvir Singh,16.09923165172409
479,Yuvraj Singh,3.4948953185396165
480,Z Khan,2.468744851780937
