,player,average_batting_performance_index
267,MK Lomror,0.3100915016600614
268,MK Pandey,0.5601590695769628
269,MK Tiwary,0.5073383104103049
270,ML Hayden,0.5672216162783148
271,MM Ali,0.3999136159512264
272,MM Patel,0.008403379678167247
273,MM Sharma,0.07003064898104092
274,MN Samuels,0.15774087713665197
275,MN van Wyk,0.34210187500159356
276,MP Stoinis,0.6949326890378227
277,MR Marsh,0.2854045950309734
278,MS Bisla,0.39162825716059224
279,MS Dhoni,0.8039220377649041
280,MS Gony,0.1058124191452183
281,MS Wade,0.14323785407996936
282,MV Boucher,0.24372574199445893
283,MW Short,0.09547972760166609
284,Mandeep Singh,0.40141747341108164
285,Misbah-ul-Haq,0.12106220206459217
286,Mohammad Hafeez,0.1323292998505287
287,Mohammad Nabi,0.2034345302717904
288,Mohammed Shami,0.06651000594013343
289,Mohammed Siraj,0.20800312242012087
290,Mohsin Khan,0.020489981803698053
291,Mukesh Kumar,0.03634486307023653
292,Mustafizur Rahman,0.03616138112905982
293,N Jagadeesan,0.15833462515828478
294,N Pooran,0.5444382185239764
295,N Rana,0.5644305588300514
296,N Saini,0.16717635681857385
297,N Wadhera,0.27812637510933513
298,NJ Maddinson,0.10333018446983189
299,NK Patel,0.0831527208858516
300,NL McCullum,0.050571748552148646
301,NLTC Perera,0.21696472502346184
302,NM Coulter-Nile,0.0981843939597485
303,NS Naik,0.05705019238629849
304,NT Ellis,0.10081912209983077
305,NV Ojha,0.4374323955035725
306,Naman Dhir,0.1535802769101886
307,Navdeep Saini,0.08362063861552015
308,Naveen-ul-Haq,0.13685971110045703
309,Nithish Kumar Reddy,0.31678633876664836
310,Noor Ahmad,0.04104074428165094
311,OA Shah,0.31559049598004596
312,OF Smith,0.02363251408016046
313,P Dogra,0.197146558033675
314,P Dubey,0.07136265601554936
315,P Kumar,0.1808096427786257
316,P Negi,0.2475113804802123
317,P Ray Barman,0.0
318,P Simran Singh,0.37597674633898975
319,PA Patel,0.587640562429677
320,PA Reddy,0.19006082803489371
