,Player,Role,Amount,Player Origin
283,Gurkeerat Singh Mann,All-Rounder,5000000,Indian
302,Sridharan Sharath,Bowler,1000000,Indian
288,Hanuma Vihari,Batsman,20000000,Indian
290,Harbhajan Singh,Bowler,20000000,Indian
291,Hardik Pandya,All-Rounder,1000000,Indian
292,Hardus Viljoen,Bowler,7500000,Overseas
294,Harpreet Brar,All-Rounder,38000000,Indian
295,Harry Gurney,Bowler,7500000,Overseas
298,Harshal Patel,All-Rounder,107500000,Indian
299,Heinrich Klaasen,Wicket Keeper,5000000,Overseas
300,Himmat Singh,Batsman,6500000,Indian
301,Hrithik Shokeen,All-Rounder,2000000,Indian
303,Imran Tahir,Bowler,10000000,Overseas
305,Iqbal Abdulla,All-Rounder,1000000,Indian
308,Irfan Pathan,All-Rounder,10000000,Indian
311,Ishan Kishan,Wicket Keeper,152500000,Indian
312,Ishan Porel,Bowler,2500000,Indian
315,Ishank Jaggi,Batsman,2000000,Indian
318,Ishant Sharma,Bowler,11000000,Indian
320,Ishwar Pandey,Bowler,2000000,Indian
321,Isuru Udana,All-Rounder,5000000,Overseas
322,Jagadeesha Suchith,Bowler,3000000,Indian
324,Jacob Oram,All-Rounder,3750000,Overseas
325,Jacques Kallis,All-Rounder,55000000,Overseas
326,Jagadeesha Suchith,Bowler,2000000,Indian
330,Jalaj Saxena,All-Rounder,3000000,Indian
331,James Faulkner,All-Rounder,30000000,Overseas
336,James Neesham,All-Rounder,15000000,Overseas
337,Jaskaran Singh,Bowler,1000000,Indian
339,Jason Behrendorff,Bowler,7500000,Overseas
343,Jason Holder,All-Rounder,87500000,Overseas
347,Jason Roy,Batsman,20000000,Overseas
348,Jasprit Bumrah,Bowler,12000000,Indian
349,Jatin Saxena,All-Rounder,2000000,Indian
350,Javon Searles,All-Rounder,3000000,Indian
353,Jayant Yadav,All-Rounder,17000000,Indian
354,Jaydev Shah,All-Rounder,2000000,Indian
363,Jaydev Unadkat,Bowler,13000000,Indian
365,Jean-Paul Duminy,All-Rounder,10000000,Overseas
366,Jeevan Mendis,All-Rounder,3750000,Overseas
367,Jesse Ryder,All-Rounder,19500000,Overseas
368,Jhye Richardson,Bowler,140000000,Overseas
370,Jitesh Sharma,Wicket Keeper,2000000,Indian
371,Joe Denly,Batsman,10000000,Overseas
372,Joel Paris,Bowler,3000000,Overseas
